:START_ID,:END_ID,:TYPE,source_file,evidence
伪拇指,抓握竹子,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,伪拇指是腕骨特化形成的第六指，专门用于抓握竹子。
消化系统调整,肠道菌群适应纤维素分解,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫在进化中发生了显著适应变化：发展出伪拇指（抓握竹子）、头骨和下颌肌肉强化（研磨竹子）、消化系统调整（肠道菌群适应纤维素分解）。
大熊猫幼崽,100-150克,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900），这是熊科动物的普遍特征（延迟着床、短妊娠期）。
大熊猫幼崽,母体的1/900,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫幼崽确实很小（约100-150克，是母体的1/900），这是熊科动物的普遍特征（延迟着床、短妊娠期）。
大熊猫,12-38公斤,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,它们每天摄入大量竹子（12-38公斤），通过选择性食用高营养部位（竹笋、嫩叶）和大量进食来满足能量需求。
圈养大熊猫幼崽,6-9个月龄,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,圈养大熊猫幼崽通常在6-9个月龄开始逐步断奶，但完全断奶一般在1岁左右，与野生环境下基本一致（野生幼崽约1-1.5岁断奶）。
圈养大熊猫幼崽,1岁左右,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,圈养大熊猫幼崽通常在6-9个月龄开始逐步断奶，但完全断奶一般在1岁左右，与野生环境下基本一致（野生幼崽约1-1.5岁断奶）。
野生大熊猫幼崽,1-1.5岁,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,圈养大熊猫幼崽通常在6-9个月龄开始逐步断奶，但完全断奶一般在1岁左右，与野生环境下基本一致（野生幼崽约1-1.5岁断奶）。
大熊猫,1次,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫每年仅发情1次（春季），发情期极短（1-3天），且雌性常出现假发情。
大熊猫,1-3天,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫每年仅发情1次（春季），发情期极短（1-3天），且雌性常出现假发情。
大熊猫,10-12小时,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫每天睡眠约10-12小时，其余时间主要进食和活动。
大熊猫,10-16小时,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,由于竹子能量低，它们需要长时间进食（每天10-16小时）
大熊猫,护崽,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫是独居动物，通常避免与人类接触。但在以下情况下可能攻击：护崽（母熊猫对靠近幼崽的威胁非常敏感）、受惊或被困（如被人类突然靠近）、发情期（雄性间争斗时可能误伤人类）。
大熊猫,受惊,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫是独居动物，通常避免与人类接触。但在以下情况下可能攻击：护崽（母熊猫对靠近幼崽的威胁非常敏感）、受惊或被困（如被人类突然靠近）、发情期（雄性间争斗时可能误伤人类）。
大熊猫,被困,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫是独居动物，通常避免与人类接触。但在以下情况下可能攻击：护崽（母熊猫对靠近幼崽的威胁非常敏感）、受惊或被困（如被人类突然靠近）、发情期（雄性间争斗时可能误伤人类）。
大熊猫,发情期（雄性间争斗）,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫是独居动物，通常避免与人类接触。但在以下情况下可能攻击：护崽（母熊猫对靠近幼崽的威胁非常敏感）、受惊或被困（如被人类突然靠近）、发情期（雄性间争斗时可能误伤人类）。
大熊猫,与棕熊相当,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫的咬合力极强（与棕熊相当）
大熊猫身体轻微抖动,肌肉放松或体温调节,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫在休息或进食后可能出现身体轻微抖动，这通常是肌肉放松或体温调节的正常表现，并非疾病或虐待所致。
大熊猫消化系统,无法完全分解竹子纤维,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫的消化系统无法完全分解竹子纤维，排泄物中残留竹子残渣是正常现象。
消化系统无法完全分解竹子纤维,排泄物中残留竹子残渣,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫的消化系统无法完全分解竹子纤维，排泄物中残留竹子残渣是正常现象。
大熊猫,幼崽,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫有天敌：豺、豹、黄喉貂等，尤其对幼崽构成威胁。
母兽带崽,觅食,RELATED_TO,D:\panda\docs\谣言与辟谣\大熊猫谣言与辟谣：全面知识库.md,大熊猫在野外无法生存，放归全部失败……采用“母兽带崽”的野化培训方法——让圈养母熊猫在模拟野外环境中教会幼崽生存技能（觅食、避敌、识别同类等）。
